School,Grade,Prg,Total,1st Choice,2nd Choice,3rd Choice,4th Choice,5th Choice,6th Choice,7th Choice,8th Choice+
Alamo Es- (413),K,GEN,1060,92,84,61,49,52,46,37,639
Alvarado Es- (420),K,GEN,944,48,82,58,58,60,65,61,512
Alvarado Es- (420),K,IMMS,714,130,78,65,52,44,34,27,284
Argonne Es- (435)K,GEN,1080,84,74,74,64,63,50,45,626
Argonne Tk- (845),TK,GEN,212,64,70,34,14,11,8,4,7
Grade,Prg,Total,1st Choice,2nd Choice,3rd Choice,4th Choice,5th Choice,6th Choice,7th Choice,8th Choice+
Bryant Es- (456),K,GEN,149,10,9,5,7,4,2,3,109
Bryant Es- (456),K,SPN,79,25,17,18,5,5,2,0,7
Carmichael Tk- (883),TK,GEN,54,14,5,6,6,7,7,2,7
Carver Es- (625),K,GEN,114,8,6,3,3,3,0,1,90
Chavez Es- (603),K,GEN,161,9,17,3,7,7,6,2,110
Chavez Es- (603),K,SPN,102,26,25,21,12,5,2,1,10
Chin Es- (872),K,GEN,518,22,46,20,40,21,20,11,338
Chin Es- (872),K,CHN,140,44,26,30,9,14,4,1,12
Chinese Immersion Es- (509),K,GEN,1,0,0,0,0,0,1,0,0
Chinese Immersion Es- (509),K,IMMC,644,80,61,52,34,19,27,17,354
Clarendon Es- (478),K,GEN,1624,176,203,205,173,165,153,103,446
Clarendon Es- (478),K,JPN,689,67,111,82,58,51,48,36,236
Cleveland Es- (481),K,GEN,165,11,18,7,13,6,2,3,105
Cleveland Es- (481),K,SPN,57,21,10,10,3,6,0,1,6
Cobb Es- (525),K,GEN,163,7,3,3,2,4,3,4,137
Drew Es- (507),K,GEN,132,19,5,6,4,1,2,2,93
Drew Tk- (849),TK,GEN,22,4,3,1,1,2,1,1,9
El Dorado Es- (521),K,GEN,105,5,8,7,0,1,0,4,80
Fairmount Es- (537),K,IMMS,584,75,79,51,39,26,18,16,280
Feinstein Es- (539),K,GEN,1026,86,44,48,59,49,49,67,624
Flynn Es- (680),K,GEN,223,8,17,10,8,5,8,3,164
Flynn Es- (680),K,IMMS,304,24,21,37,31,17,14,5,155
Flynn Tk- (880),TK,GEN,87,16,15,15,15,6,3,2,15
Garfield Es- (562),,,,,,,,,,
Garfield Es- (562),K,GEN,330,5,7,7,18,8,5,8,272
Garfield Es- (562),K,IMMC,181,7,7,11,12,5,6,7,126
Glen Park Es- (575),K,GEN,538,33,37,36,26,18,19,23,346
Glen Park Es- (575),K,SPN,55,12,7,8,8,8,2,0,10
Grattan Es- (589),K,GEN,1448,188,150,133,153,144,125,113,442
Guadalupe Es- (593),K,GEN,174,19,17,13,7,2,5,2,109
Guadalupe Es- (593),K,SPN,56,16,15,3,10,4,1,1,6
Harte Es- (453),K,GEN,107,6,11,5,2,0,0,0,83
Harte Es- (453),K,IMMS,80,7,3,2,4,0,1,0,63
Harte Tk- (705),TK,GEN,22,7,1,0,2,1,0,1,10
Havard Tk- (865),TK,GEN,17,1,2,3,0,0,1,0,10
Hillcrest Es- (614),K,GEN,214,18,15,12,19,9,5,6,130
Hillcrest Es- (614),K,CHN,34,4,6,11,2,4,2,1,4
Hillcrest Es- (614),K,MM,10,5,3,0,0,1,0,0,1
Hillcrest Es- (614),K,SPN,50,10,11,16,2,3,0,1,7
Jefferson Es- (644),K,GEN,1172,66,54,68,66,82,80,70,686
Key Es- (544),K,GEN,833,67,36,47,38,35,34,29,547
Lafayette Es- (664),K,GEN,951,91,58,61,40,46,39,45,571
Lakeshore Es- (670),K,GEN,510,31,28,20,27,21,21,22,340
Lau Es- (490),K,GEN,357,15,35,14,40,10,11,7,225
Lau Es- (490),K,CHN,134,61,18,27,3,7,4,2,12
Lilienthal K-8- (479),K,GEN,1111,150,146,98,77,53,55,58,474
Lilienthal K-8- (479),K,IMMK,354,41,23,17,12,16,7,12,226
Longfellow Es- (691),K,GEN,207,21,17,12,8,4,2,2,141
Longfellow Es- (691),K,SPN,,39,18,5,4,0,2,0,0,10
Malcolm X Es- (830),K,GEN,84,4,4,0,1,2,0,0,73
Marshall Es- (714),K,IMMS,366,46,30,30,18,18,12,9,203
McCoppin Es- (549),K,GEN,455,8,4,5,7,14,16,8,393
McKinley Es- (718),K,GEN,1106,78,69,80,86,73,87,76,557
McLaren Tk- (704),TK,GEN,53,13,6,1,4,7,4,4,14
Milk Es- (505),K,GEN,519,21,21,17,14,15,17,19,395
Miraloma Es- (722),K,GEN,1140,93,80,89,93,86,75,70,554
Miraloma Es- (722),K,MM,14,4,5,3,1,0,0,1,0
Monroe Es- (729),K,GEN,352,23,45,19,29,14,10,12,200
Monroe Es- (729),K,CHN,86,25,18,9,6,7,2,4,15
Monroe Es- (729),K,IMMS,340,59,27,35,23,14,11,16,155
Montessori Es- (814),K,GEN,583,41,22,39,29,28,29,23,372
Moscone Es- (723),K,GEN,254,12,24,10,8,4,6,1,189
Moscone Es- (723),K,CHN,26,11,4,3,1,0,1,0,6
Moscone Es- (723),K,SPN,121,36,26,24,14,5,3,4,9
Muir Es- (650),K,GEN,154,10,6,5,2,5,1,1,124
Muir Es- (650),K,SPN,23,11,4,3,2,2,0,0,1
New Traditions Es- (735),K,GEN,896,40,39,49,63,57,63,51,534
Noriega Tk- (752),TK,GEN,191,93,34,25,15,6,6,3,9
Ortega Es- (746),K,GEN,418,17,23,14,15,15,11,11,312
Ortega Es- (746),K,IMMM,365,70,23,14,28,17,8,7,198
Parker Es- (638),K,GEN,279,12,20,8,21,12,22,8,176
Parker Es- (638),K,CHN,91,16,13,22,5,20,3,4,8
Parks Es- (786),K,GEN,361,19,18,14,9,12,10,5,274
Parks Es- (786),K,JPN,279,39,13,11,6,4,11,4,191
Peabody Es- (569),K,GEN,1175,130,117,104,95,84,60,50,535
Peabody Es- (569),K,MM,13,4,6,2,0,0,1,0,0
Presidio Tk- (875),TK,GEN,159,28,52,37,14,12,4,7,5
Redding Es- (790),K,GEN,262,30,25,16,10,5,6,4,166
Redding Tk- (890),TK,GEN,79,19,11,11,8,8,4,4,14
Revere K-8- (760),K,GEN,180,7,5,2,3,2,3,2,156
Revere K-8- (760),K,IMMS,208,15,15,6,10,11,4,6,141
Rodriguez Tk- (895),TK,GEN,108,26,25,25,9,6,6,3,8
Rooftop K-8- (796),K,GEN,1432,180,121,129,132,130,127,110,503
S F Community K-8- (493),K,GEN,338,20,16,18,14,11,15,10,234
Sanchez Es- (816),K,GEN,189,9,12,4,5,4,5,5,145
Serra Annex Tk- (879),TK,GEN,118,21,32,22,15,9,7,6,6
Serra Es- (656),K,GEN,170,3,10,4,4,2,4,3,140
Serra Es- (656),K,SPN,49,21,5,11,5,1,0,0,6
Sheridan Es- (820),K,GEN,177,14,13,2,2,0,2,1,143
Sheridan Tk- (884),TK,GEN,74,7,15,8,12,4,2,2,24
Sherman Es- (823),K,GEN,892,116,78,56,46,34,29,45,488
Sloat Es- (488),K,GEN,1007,71,53,69,48,44,50,45,627
Spring Valley Es- (834),K,GEN,303,11,24,14,7,6,16,6,219
Spring Valley Es- (834),K,CHN,44,10,2,7,6,6,1,2,10
Spring Valley Es- (834),K,SPN,35,16,6,0,1,4,0,2,6
Starr King Es- (838),K,GEN,208,4,5,7,5,1,1,1,184
Starr King Es- (838),K,IMMM,299,36,27,14,10,8,2,4,198
Stevenson Es- (782),K,GEN,936,36,46,55,65,60,48,40,586
Stevenson Es- (782),K,MM,11,6,4,1,0,0,0,0,0
Stockton Tk- (874),TK,GEN,73,30,5,5,6,5,4,4,14
Sunnyside Es- (842),K,GEN,828,115,54,63,50,57,28,34,427
Sunset Es- (750),K,GEN,1255,137,124,109,75,81,55,57,617
Sutro Es- (848),K,GEN,667,13,23,21,38,20,23,20,509
Sutro Es- (848),K,CHN,60,12,5,4,4,7,3,1,24
Taylor Es- (513),K,GEN,430,49,59,13,23,14,6,5,261
Taylor Es- (513),K,CHN,128,58,9,16,11,6,8,4,16
Taylor Es- (513),K,SPN,49,26,8,5,1,0,1,0,8
Tenderloin Es- (859),TK,GEN,2,0,1,0,0,0,0,0,1
Tenderloin Es- (859),K,GEN,156,29,11,14,7,3,2,0,90
Tenderloin Tk- (706),TK,GEN,26,2,2,10,3,1,1,1,6
Tule Elk Park Tk- (860),TK,GEN,127,28,21,26,20,11,4,4,13
Ulloa Es- (862),K,GEN,966,46,64,56,58,61,53,45,583
Ulloa Es- (862),K,CHN,202,49,23,39,22,10,15,17,27
Visitacion Valley Es- (867),K,GEN,163,23,10,8,10,2,2,2,106
Visitacion Valley Es- (867),K,CHN,31,13,4,7,0,1,2,0,4
Webster Es- (497),K,GEN,235,10,22,6,7,6,3,6,175
Webster Es- (497),K,IMMS,282,36,19,22,18,13,9,13,152
West Portal Es- (876),K,GEN,1368,65,109,123,100,105,86,107,673
West Portal Es- (876),K,IMMC,671,58,102,76,52,34,34,21,294
Wo Es- (801),K,GEN,480,35,19,24,18,14,9,12,349
Buena Vista/Mann K-8- (618),K,IMMS,601,117,72,58,30,26,18,17,263
Carmichael K-8- (449),K,GEN,183,26,9,5,4,1,3,1,134
Carmichael K-8- (449),K,FIL,34,9,2,0,0,0,0,0,23
Grade,Prg,Total,1st Choice,2nd Choice,3rd Choice,4th Choice,5th Choice,6th Choice,7th Choice,8th Choice+
Lawton K-8- (676),K,GEN,1355,144,130,109,96,86,73,67,650
Yu K-8- (485),K,IMMC,1013,210,99,72,54,48,31,37,462
